source,product,metrics,campaign,ad_name,adset_name,date,actual,forecast,baseline
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-06,1764.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-07,3468.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-07,1421.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-07,1201.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-07,398.0,,298.7142857142857
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-07,3060.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-08,2785.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-08,1816.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-08,438.0,,316.5
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-08,,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-09,1469.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-09,337.0,,314.7142857142857
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-10,3371.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-10,1701.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-10,1701.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-10,1701.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-10,1701.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-10,,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-10,,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-10,,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-10,,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-10,613.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-10,316.0,,321.14285714285717
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-10,2300.0,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-10,71.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-11,3814.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-11,1613.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-11,601.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-11,1932.0,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-11,67.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-12,4542.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-12,1453.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-12,568.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-12,2583.0,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-12,64.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-13,3208.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-13,1315.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-13,628.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-13,513.0,,334.07142857142856
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-13,2538.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-14,4448.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-14,1260.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-14,1212.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-14,712.0,,354.57142857142856
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-14,2906.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-15,2203.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-15,1285.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-15,,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-15,463.0,,387.14285714285717
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-15,,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-16,1213.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-16,386.0,,403.92857142857144
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-17,3699.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-17,1691.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-17,1243.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-17,325.0,,426.2857142857143
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-17,2561.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-18,1914.0,,
