created_date,product,campaign,clicks,cost,leads,prospect,funding,NTF
2022-06-24,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,1.0,240782500.0
2022-06-25,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-06-27,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-06-27,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,5.0,,
2022-06-28,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-06-29,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-06-29,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-06-30,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-01,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-02,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-02,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-04,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-06,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-06,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-07,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-08,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-08,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,4.0,,
2022-07-11,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,5.0,,
2022-07-11,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,7.0,,
2022-07-12,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,4.0,,
2022-07-12,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,4.0,,
2022-07-13,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-14,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-14,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,
2022-07-15,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,3.0,,
2022-07-15,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-18,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,3.0,,
2022-07-19,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,5.0,,
2022-07-19,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-20,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,3.0,,
2022-07-20,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-21,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-22,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-22,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-23,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,3.0,,
2022-07-23,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-25,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,4.0,,
2022-07-25,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-26,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,3.0,,
2022-07-27,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-27,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-07-28,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-29,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-07-29,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-02,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-02,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,
2022-08-04,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-05,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-06,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-08,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,3.0,,
2022-08-09,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-08-10,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-11,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-11,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-08-12,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-08-12,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,
2022-08-13,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-15,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,
2022-08-16,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-16,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-08-19,BPKB Mobil,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-19,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-19,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-22,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-22,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-23,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-23,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-08-24,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-24,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-08-25,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-26,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
